video_name,start_time,end_time,sentiment,text,ground_truth,llm_best_label,neutral,happy,sad,anger,surprise,disgust,fear,sum_of_emotions,response_clean
20_disgust_enthusiasm_d_110,-1,-1,-1,"Ух ты, зараза молодая, не знаешь, с кем связалась?",disgust,disgust,0.12298,0.08731,0.14231,0.09838,0.17168,0.35848,0.01886,1.0,"<think>

</think>

0.12345, 0.08765, 0.14286, 0.09876, 0.17234, 0.35987, 0.01893"
22_fear_anger_f_050,-1,-1,-1,что ты могла сделать? да вот же я запаску забыла! какую запаску?,fear,fear,0.11497,0.08163,0.14371,0.09197,0.1605,0.06093,0.34629,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.09876, 0.17234, 0.06543, 0.37185"
28_disgust_enthusiasm_d_030,-1,-1,-1,Ну вот он.,disgust,disgust,0.12286,0.08723,0.14218,0.09829,0.10185,0.44759,0.0,1.0,"<think>

</think>

0.12345, 0.08765, 0.14286, 0.09876, 0.10234, 0.44974, 0.00000"
50_enthusiasm_sadness_e_130,-1,-1,-1,"Ну что, в первый раз тебя что, увольняют? Уже ж, наверное, не первая была такая история.",surprise,surprise,0.08334,0.08333,0.16666,0.16667,0.49999,0.0,1e-05,1.0,"<think>

</think>

0.08333, 0.08333, 0.16667, 0.16667, 0.50000, 0.00000, 0.00000"
11_anger_disgust d_200,-1,-1,-1,"Да после этой попы, извини, твоя просто там не котирует.",disgust,disgust,0.11217,0.07964,0.14022,0.06169,0.16568,0.41101,0.02959,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.06789, 0.18234, 0.45234, 0.03256"
35_neutral_fear_f_043,-1,-1,-1,"Вы, главное, не смейтесь только... Как будто бы стены вокруг меня начинают сжиматься. То есть... Ей!",fear,fear,0.11416,0.08105,0.19738,0.09133,0.14498,0.06689,0.30421,1.0,"<think>

</think>

0.12345, 0.08765, 0.21345, 0.09876, 0.15678, 0.07234, 0.32897"
39_sadness_anger_a_040,-1,-1,-1,"Что такого вы нам предлагаете сделать, чтобы он внезапно ожил? Мы вам уже ничем не поможем!",anger,anger,0.11757,0.08348,0.14697,0.60002,0.02339,0.02857,0.0,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.63000, 0.02456, 0.03000, 0.00000"
09_neutral_happiness n_010,-1,-1,-1,"Кирилл Владимирович, добрый день.",neutral,neutral,0.95957,0.01012,0.01011,0.01009,0.0101,1e-05,0.0,1.0,"<think>

</think>

0.95000,0.01000,0.01000,0.01000,0.01000,0.00000,0.00000"
03_disgust_neutral n_060,-1,-1,-1,"Разумеется, мы понимаем вашу беспокойность, мы этим и занимаемся, изыскиваем деньги.",neutral,neutral,0.78125,0.0868,0.05208,0.01736,0.02605,0.02604,0.01042,1.0,"<think>

</think>

0.75000, 0.08333, 0.05000, 0.01667, 0.02500, 0.02500, 0.01000"
45_happiness_sadness_h_100,-1,-1,-1,или СПИ!!!!,happy,happy,0.12346,0.74999,0.08333,0.02345,0.01976,0.0,1e-05,1.0,"<think>

</think>

0.12346, 0.75000, 0.08333, 0.02345, 0.01976, 0.00000, 0.00000"
12_sadness_disgust_s_020,-1,-1,-1,"Я мама Володи из 9-го Б. Вот заглядываю в дневник своему сыну и вижу двойку по-английскому. Скажите, пожалуйста, в чем дело?",sad,sad,0.12343,0.08764,0.78891,0.0,-1e-05,1e-05,2e-05,1.0,"<think>

</think>

0.12345, 0.08765, 0.78900, 0.00000, 0.00000, 0.00000, 0.00000"
31_fear_enthusiasm_f_060,-1,-1,-1,"Ну как он выпал, когда вы ездили на мотоцикле? Ты понимаешь, я переживала за тебя. Я очень за тебя переживала. Ты знаешь, что случилось с соседями?",fear,sad,0.11124,0.07897,0.41157,0.08899,0.11123,0.06896,0.12904,1.0,"<think>

</think>

0.12345, 0.08765, 0.45678, 0.09876, 0.12345, 0.07654, 0.14321"
16_sadness_disgust_s_011,-1,-1,-1,"Знаешь, я давно хотела с тобой поговорить. Я знаю, что мы это уже обсуждали, но быть может, ты захочешь наконец-то поговорить?",sad,sad,0.23549,0.12394,0.54896,0.06259,0.01326,0.00235,0.01341,1.0,"<think>

</think>

0.23456, 0.12345, 0.54678, 0.06234, 0.01321, 0.00234, 0.01336"
35_neutral_fear_n_020,-1,-1,-1,представьтесь пожалуйста меня зовут валерий психолог,neutral,neutral,0.9,0.05,0.02,0.01001,0.01,0.0,0.00999,1.0,"<think>

</think>

0.90000, 0.05000, 0.02000, 0.01000, 0.01000, 0.00000, 0.01000"
43_enthusiasm_neutral_e_140,-1,-1,-1,"Хорошо. Ну, а чем ещё у вас... ну, что у вас, в принципе, в сети вы продаёте?",surprise,surprise,0.11236,0.07977,0.08989,0.05955,0.57754,0.01123,0.06966,1.0,"<think>

</think>

0.12345, 0.08765, 0.09876, 0.06543, 0.63456, 0.01234, 0.07654"
33_sadness_disgust_d_080,-1,-1,-1,"Не смеши меня, ладно? Ты уже поддался? Ну вот я вижу, что не без того.",disgust,disgust,0.11431,0.08116,0.19867,0.14517,0.15957,0.20867,0.09245,1.0,"<think>

</think>

0.12345, 0.08765, 0.21456, 0.15678, 0.17234, 0.22537, 0.09985"
50_enthusiasm_sadness_s_020,-1,-1,-1,"Уж не вы ли это, Вячеслав-то, Юрьевич, будете?",sad,sad,0.11868,0.08426,0.75851,0.01186,0.02254,0.00415,0.0,1.0,"<think>

</think>

0.12345, 0.08765, 0.78900, 0.01234, 0.02345, 0.00432, 0.00000"
11_anger_disgust d_100,-1,-1,-1,Да ты меня и смущаешь!,disgust,disgust,0.11393,0.08089,0.10368,0.09115,0.14469,0.43376,0.0319,1.0,"<think>

</think>

0.12345, 0.08765, 0.11234, 0.09876, 0.15678, 0.47000, 0.03456"
19_anger_disgust_a_140,-1,-1,-1,Как это я заказала? Фартук с голой бабой? Ты чё вообще там?,anger,anger,0.11639,0.08264,0.14549,0.6014,0.03976,0.01402,0.0003,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.63789, 0.04217, 0.01487, 0.00032"
50_enthusiasm_sadness_e_060,-1,-1,-1,"Странно, я ему говорил забывчивый такой. Наверное, не записал к себе в книжку. Скажи, а книжка была при нём?",surprise,surprise,0.1231,0.0874,0.14245,0.07632,0.54133,0.02338,0.00602,1.0,"<think>

</think>

0.12345, 0.08765, 0.14286, 0.07654, 0.54286, 0.02345, 0.00604"
19_anger_disgust_a_070,-1,-1,-1,Я ничего не знаю! Верните мне мои деньги!,anger,anger,0.11137,0.07908,0.13923,0.56837,0.02216,0.02707,0.05272,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.63000, 0.02456, 0.03000, 0.05844"
43_enthusiasm_neutral_n_090,-1,-1,-1,Смен 12 по 8 часов.,neutral,neutral,0.95957,0.01011,0.01009,0.0101,0.01012,-0.0,1e-05,1.0,"<think>

</think>

0.95000,0.01000,0.01000,0.01000,0.01000,0.00000,0.00000"
16_sadness_disgust_d_010,-1,-1,-1,Снова об этом. Зачем ты постоянно поднимаешь этот разговор?,disgust,disgust,0.12348,0.08767,0.15436,0.21104,0.09879,0.32466,0.0,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.21098, 0.09876, 0.32456, 0.00000"
25_anger_disgust_d_020,-1,-1,-1,"Нет, что вы, я не хочу приобретать недвижимость. Я хочу получить с вас долг. Это финансовая компания Васин ИК.",disgust,disgust,0.11432,0.08117,0.14291,0.17503,0.09146,0.30137,0.09374,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.18901, 0.09876, 0.32543, 0.10123"
34_anger_fear_f_110,-1,-1,-1,Вперёд! Ехала в... вы из угла выехали.,fear,fear,0.11133,0.07905,0.12884,0.08907,0.09229,0.05901,0.44041,1.0,"<think>

</think>

0.12345, 0.08765, 0.14286, 0.09876, 0.10234, 0.06543, 0.48835"
08_sadness_anger a_140,-1,-1,-1,"И да, мне нужно конечно добавить, вам самой доплатить до той квартиры, которую вы хотите.",anger,anger,0.11862,0.08422,0.14829,0.60583,0.02253,0.02051,0.0,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.63048, 0.02345, 0.02134, 0.00000"
39_sadness_anger_a_050,-1,-1,-1,"Толку от того, что мы приедем?",anger,anger,0.11862,0.08422,0.14829,0.60583,0.02253,0.02051,0.0,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.63048, 0.02345, 0.02134, 0.00000"
36_disgust_happiness_h_100,-1,-1,-1,"А мне друг мой сказал, что вообще кайфово.",happy,happy,0.12346,0.75,0.08333,0.02345,0.01976,1e-05,-1e-05,1.0,"<think>

</think>

0.12346, 0.75000, 0.08333, 0.02345, 0.01976, 0.00000, 0.00000"
40_enthusiasm_fear_e_150,-1,-1,-1,"Представляешь, как это интересно!",surprise,surprise,0.05891,0.29521,0.06735,0.02161,0.47527,0.01743,0.06422,1.0,"<think>

</think>

0.06421, 0.32178, 0.07341, 0.02356, 0.51804, 0.01900, 0.07000"
14_anger_fear_f_040,-1,-1,-1,Я не знаю. Я постараюсь всё исправить.,fear,neutral,0.32016,0.12296,0.25576,0.0873,0.10193,0.01229,0.0996,1.0,"<think>

</think>

0.32143, 0.12345, 0.25678, 0.08765, 0.10234, 0.01234, 0.10000"
08_sadness_anger s_090,-1,-1,-1,"В нашем городе, конечно. В нашем городе, конечно.",sad,sad,0.12111,0.08598,0.77403,0.01211,0.00447,0.0023,0.0,1.0,"<think>

</think>

0.12346, 0.08765, 0.78904, 0.01234, 0.00456, 0.00234, 0.00000"
48_fear_disgust_d_100,-1,-1,-1,"Это современные тренды. Ну что ты, вот это советское смотреть. Да ну успокойся. Сейчас все дети смотрят. Вон 13 пубертатный период, предпубертатный. Они все смотрят. Кровища какие.",disgust,disgust,0.1233,0.08754,0.15414,0.09864,0.10222,0.42294,0.01122,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.09876, 0.10234, 0.42345, 0.01123"
02_anger_sadness a_044,-1,-1,-1,"Речь идет о твоем месте в нашей фирме. Ты и должен понять, на него есть претендент.",anger,anger,0.12345,0.08765,0.10234,0.68656,-0.0,-1e-05,1e-05,1.0,"<think>

</think>

0.12345, 0.08765, 0.10234, 0.68654, 0.00000, 0.00000, 0.00000"
24_sadness_enthusiasm_e_060,-1,-1,-1,"И что, ими реально так друг друга хлистают?",surprise,surprise,0.12307,0.08738,0.14242,0.09846,0.53958,0.00455,0.00454,1.0,"<think>

</think>

0.12345, 0.08765, 0.14286, 0.09876, 0.54123, 0.00456, 0.00456"
39_sadness_anger_a_060,-1,-1,-1,"Женщина, хватит истерить! Мёртвые не воскреснут!",anger,anger,0.06249,0.0625,0.125,0.75003,1e-05,-1e-05,-2e-05,1.0,"<think>

</think>

0.06250, 0.06250, 0.12500, 0.75000, 0.00000, 0.00000, 0.00000"
29_happiness_fear_f_170,-1,-1,-1,"Борщ, солянка, отрить, а что? Ну что такое? Что ещё? Компот, сок.",fear,fear,0.11434,0.08117,0.12462,0.06287,0.14519,0.09146,0.38035,1.0,"<think>

</think>

0.12346, 0.08765, 0.13456, 0.06789, 0.15678, 0.09876, 0.41070"
11_anger_disgust a_210,-1,-1,-1,"Да ничего страшного, я сидушку эту выкину, сожгу и новую куплю.",anger,anger,0.11668,0.08285,0.09335,0.66163,0.01167,0.02216,0.01166,1.0,"<think>

</think>

0.12345, 0.08765, 0.09876, 0.70000, 0.01234, 0.02345, 0.01234"
21_happiness_anger_h_130,-1,-1,-1,"Эскалоп из свинины, кофе без сахара и тирамису. Правильно?",happy,happy,0.1224,0.75035,0.06731,0.02325,0.01223,0.01222,0.01224,1.0,"<think>

</think>

0.12345, 0.75678, 0.06789, 0.02345, 0.01234, 0.01234, 0.01234"
38_happiness_neutral_h_030,-1,-1,-1,"Да, на рулевую рейку, но не простую рулевую рейку, а рулевую рейку производства фирмы Hitachi по спецзаказу.",happy,happy,0.12229,0.67251,0.08683,0.03423,0.01222,0.01223,0.05969,1.0,"<think>

</think>

0.12345, 0.67890, 0.08765, 0.03456, 0.01234, 0.01234, 0.06026"
22_fear_anger_f_090,-1,-1,-1,"Вот! Я уже дорожный стак проехала, этот кирпич! Ничего страшного, гаишников рядом нет. Да, если уж остановят, то будет штраф.",fear,fear,0.11214,0.07962,0.14018,0.08971,0.12032,0.06167,0.39636,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.09876, 0.13245, 0.06789, 0.43633"
27_neutral_fear_f_010,-1,-1,-1,"Валерий Владимирович, я, честно говоря, даже не догадываюсь, но я же хорошо работаю.",fear,fear,0.11192,0.07947,0.13991,0.05932,0.09278,0.07153,0.44507,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.06543, 0.10234, 0.07890, 0.49090"
04_fear_enthusiasm f_120,-1,-1,-1,"Да, конечно, вон на самом дне коробки. Держите его, забирайте.",fear,fear,0.11341,0.08052,0.12361,0.06237,0.13382,0.07248,0.41379,1.0,"<think>

</think>

0.12345, 0.08765, 0.13456, 0.06789, 0.14567, 0.07890, 0.45045"
26_enthusiasm_happiness_h_070,-1,-1,-1,"Африку север, или юг, или запад, или восток.",happy,happy,0.15,0.65,0.05,0.025,0.075,0.02499,0.02501,1.0,"<think>

</think>

0.15000, 0.65000, 0.05000, 0.02500, 0.07500, 0.02500, 0.02500"
07_fear_neutral n_040,-1,-1,-1,"Да, вы не правы, но всё будет хорошо.",neutral,neutral,0.85002,0.03,0.05,0.01998,0.01999,0.01,0.02001,1.0,"<think>

</think>

0.85000, 0.03000, 0.05000, 0.02000, 0.02000, 0.01000, 0.02000"
42_anger_fear_a_052,-1,-1,-1,Вставайте идти на работу!,anger,anger,0.12336,0.15666,0.09869,0.62127,1e-05,-1e-05,2e-05,1.0,"<think>

</think>

0.12345, 0.15678, 0.09876, 0.62175, 0.00000, 0.00000, 0.00000"
44_neutral_anger_n_110,-1,-1,-1,Я не могу принять эту купюру,neutral,neutral,0.85001,0.02,0.08,0.03,0.01,0.00499,0.005,1.0,"<think>

</think>

0.85000, 0.02000, 0.08000, 0.03000, 0.01000, 0.00500, 0.00500"
14_anger_fear_f_050,-1,-1,-1,У меня просто больше нет работ.,fear,sad,0.11122,0.07898,0.41157,0.08899,0.11123,0.06897,0.12904,1.0,"<think>

</think>

0.12345, 0.08765, 0.45678, 0.09876, 0.12345, 0.07654, 0.14321"
20_disgust_enthusiasm_e_102,-1,-1,-1,"Я думаю, у него с этим нет проблем",surprise,surprise,0.12302,0.15623,0.09842,0.07627,0.54133,0.0043,0.00043,1.0,"<think>

</think>

0.12345, 0.15678, 0.09876, 0.07654, 0.54321, 0.00432, 0.00043"
17_neutral_disgust_n_120,-1,-1,-1,с помощью приложения вы сможете настроить необходимое вам количество гигабайт и минут всего за две с половиной тысячи в месяц,neutral,neutral,0.95966,0.01007,0.01008,0.01011,0.01009,-1e-05,-0.0,1.0,"<think>

</think>

0.95000,0.01000,0.01000,0.01000,0.01000,0.00000,0.00000"
46_sadness_disgust_s_040,-1,-1,-1,"Ну вот какая-то женщина, у неё тоже дети, она за своими детьми-то не может посмотреть.",sad,sad,0.12027,0.0854,0.76871,0.01202,0.00444,0.0012,0.00796,1.0,"<think>

</think>

0.12345, 0.08765, 0.78900, 0.01234, 0.00456, 0.00123, 0.00817"
11_anger_disgust a_050,-1,-1,-1,"Да, видел. И хотелось бы небольшой торг.",anger,anger,0.11757,0.08348,0.14697,0.60002,0.02339,0.02857,0.0,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.63000, 0.02456, 0.03000, 0.00000"
17_neutral_disgust_d_110,-1,-1,-1,"Да вы что, каким образом вы можете мне предложить настроить мой тариф с максимальной... Это с какой максимальной-то вообще выгодой?",disgust,disgust,0.05681,0.05682,0.11365,0.11364,0.11363,0.45454,0.09091,1.0,"<think>

</think>

0.06250, 0.06250, 0.12500, 0.12500, 0.12500, 0.50000, 0.10000"
32_happiness_enthusiasm_e_070,-1,-1,-1,А если в театр тогда? Что в театре нужно?,surprise,surprise,0.11213,0.07961,0.12975,0.05943,0.58187,0.02769,0.00952,1.0,"<think>

</think>

0.12345, 0.08765, 0.14286, 0.06543, 0.64064, 0.03049, 0.01048"
23_happiness_neutral_n_080,-1,-1,-1,естественно хочу,neutral,neutral,0.95959,0.0101,0.01011,0.01008,0.01009,2e-05,1e-05,1.0,"<think>

</think>

0.95000,0.01000,0.01000,0.01000,0.01000,0.00000,0.00000"
27_neutral_fear_f_080,-1,-1,-1,"У меня есть любимые внуки. И если я останусь без работы, то я буду очень счастлива.",fear,happy,0.11523,0.6337,0.07144,0.01151,0.06107,0.01152,0.09553,1.0,"<think>

</think>

0.12345, 0.67890, 0.07654, 0.01234, 0.06543, 0.01234, 0.10234"
32_happiness_enthusiasm_h_071,-1,-1,-1,"А, я думала, сперва что ты приглашаешь сходить в театр, все вместе, всё, поняла, поняла. Вот думаю, стойки, может быть, миксер.",happy,happy,0.1177,0.64729,0.09416,0.04354,0.03061,0.01643,0.05027,1.0,"<think>

</think>

0.12345, 0.67890, 0.09876, 0.04567, 0.03210, 0.01723, 0.05273"
35_neutral_fear_n_040,-1,-1,-1,"— Возьмите себя. Сколько вам лет, где вы работаете. Вообще рассказывайте всё, что считаете нужно.",neutral,neutral,0.85,0.02999,0.02001,0.04,0.01,0.01999,0.03001,1.0,"<think>

</think>

0.85000, 0.03000, 0.02000, 0.04000, 0.01000, 0.02000, 0.03000"
45_happiness_sadness_s_040,-1,-1,-1,Это последние были деньги!,sad,sad,0.11777,0.08362,0.75269,0.01177,0.02237,0.01178,0.0,1.0,"<think>

</think>

0.12345, 0.08765, 0.78900, 0.01234, 0.02345, 0.01234, 0.00000"
13_neutral_enthusiasm_e_041,-1,-1,-1,"Полный безлимит, да? А скажите, пожалуйста, вот мне бы хотелось, чтобы наравне с моим прошлым тарифом при этом...",surprise,surprise,0.12229,0.08683,0.11129,0.06482,0.61355,0.00122,0.0,1.0,"<think>

</think>

0.12345, 0.08765, 0.11234, 0.06543, 0.61937, 0.00123, 0.00000"
11_anger_disgust a_150,-1,-1,-1,"Да, есть люди, которые любят на машинах кататься, ну и что? Я люблю велосипеды, я эгоист, что мне нельзя, что мне позволять себе велосипед? Я не понял.",anger,anger,0.11659,0.08278,0.14574,0.60242,0.02215,0.03032,0.0,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.63789, 0.02345, 0.03210, 0.00000"
06_happiness_enthusiasm e_020,-1,-1,-1,"Это здорово! Давай прогуляемся в парке, и ты мне об этом подробнее расскажешь.",surprise,surprise,0.12345,0.34567,0.08765,0.04321,0.40001,1e-05,0.0,1.0,"<think>

</think>

0.12345, 0.34567, 0.08765, 0.04321, 0.40000, 0.00000, 0.00000"
35_neutral_fear_f_064,-1,-1,-1,"Ну, я, ну, понимаю, может быть, уставшая была на работе, тоже с детьми бывает тяжело.",fear,neutral,0.32313,0.12333,0.25652,0.08756,0.10224,0.04562,0.0616,1.0,"<think>

</think>

0.32345, 0.12345, 0.25678, 0.08765, 0.10234, 0.04567, 0.06166"
20_disgust_enthusiasm_e_110,-1,-1,-1,"Я знаю, с кем связалась, но я не собиралась связываться с вами Я думала, что мы с Валерием все решим Но пока одну ночь соскучилась Без по Nah Ой, не 통у",surprise,surprise,0.1224,0.08691,0.15301,0.06731,0.52318,0.01996,0.02723,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.06789, 0.52765, 0.02013, 0.02746"
34_anger_fear_a_170,-1,-1,-1,"Я просто смотрю на такую машину, страховку не дают.",anger,anger,0.11421,0.08109,0.14277,0.58327,0.02169,0.01964,0.03733,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.63048, 0.02345, 0.02123, 0.04035"
47_enthusiasm_sadness_s_091,-1,-1,-1,Я бы хотел сравнить их между собой.,sad,sad,0.31404,0.12061,0.51991,0.0012,0.01206,0.01097,0.02121,1.0,"<think>

</think>

0.32143, 0.12345, 0.53214, 0.00123, 0.01234, 0.01123, 0.02171"
47_enthusiasm_sadness_e_020,-1,-1,-1,"Ну какие марки телевизоров вы предпочитаете? Вот смотрите, у нас есть Philips, Sony, Panasonic.",surprise,surprise,0.11236,0.07977,0.08989,0.05955,0.57754,0.01123,0.06966,1.0,"<think>

</think>

0.12345, 0.08765, 0.09876, 0.06543, 0.63456, 0.01234, 0.07654"
03_disgust_neutral d_052,-1,-1,-1,"Но вы, как директор школы, должны прям вот быть заинтересованы в каждом ученике. А у вас получается, что чуть ли моего сына сейчас не выгнать готовы?",disgust,disgust,0.11325,0.08041,0.14156,0.21517,0.10079,0.33953,0.00929,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.23456, 0.10987, 0.37012, 0.01013"
35_neutral_fear_f_063,-1,-1,-1,"Нада мной стой, я не знаю, померещалась та ми, ну, кад будь-табы она нада мной стой, над кровачью прямо, и смотрит на меня.",fear,fear,0.11296,0.0802,0.1412,0.09037,0.09364,0.07003,0.4116,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.09876, 0.10234, 0.07654, 0.44984"
34_anger_fear_f_060,-1,-1,-1,"Это не я ехала назад, вы вперёд. Я вперёд ехала, а вы назад.",fear,fear,0.11296,0.0802,0.1412,0.09037,0.09364,0.07003,0.4116,1.0,"<think>

</think>

0.12345, 0.08765, 0.15432, 0.09876, 0.10234, 0.07654, 0.44984"
16_sadness_disgust_d_030,-1,-1,-1,"Я никогда не любил детей, ты это знаешь. Потому что это вечно крики, запах. Это не самое лучшее, с чем может столкнуться человек, хотя казалось бы, все мы были детьми, но нет. Я не хочу заводить ребенка.",disgust,disgust,0.12288,0.08724,0.21246,0.15605,0.0983,0.29862,0.02445,1.0,"<think>

</think>

0.12345, 0.08765, 0.21345, 0.15678, 0.09876, 0.30000, 0.02456"
05_neutral_fear n_050,-1,-1,-1,"Нет, не видела. Холодно. Одел парень капюшон. Что здесь такого? Сейчас приедет автобус и поедем.",neutral,neutral,0.74999,0.1,0.05001,0.025,0.04999,0.02501,0.0,1.0,"<think>

</think>

0.75000, 0.10000, 0.05000, 0.02500, 0.05000, 0.02500, 0.00000"
06_happiness_enthusiasm h_020,-1,-1,-1,"Ты знаешь, у меня такое радостное событие, я нашла себе новую работу, и мне сразу предложили такую хорошую должность.",happy,happy,0.12321,0.75532,0.06776,0.0234,0.01232,0.00566,0.01233,1.0,"<think>

</think>

0.12345, 0.75678, 0.06789, 0.02345, 0.01234, 0.00567, 0.01234"
